0	1
保 湿 大事	肌 が 乾燥 する の
似合っ てる よ	眼鏡 似合わ ない
電話 かけよ う か ？	早起き でき ない
大丈夫 よ	不安 が ある …
それ は つらい	グッズ 売り切れ
どうにか なる	落ち た
大丈夫	無理 だ
辛い な	推し が 卒業 だって
一 から やり直そ	ゲーム の データ 飛ん だ
また ね	ばい ばい
いける て	辛 すぎる
なんとか なる よ	どう しよ う
教え て あげよ う	わから ん
一緒 に 勉強 しよ う	テスト 大丈夫 か な
頑張っ て	お化け 屋敷 は ダメ でしょ
家 戻る ？	カギ 閉め た っけ
やばい ね	やばい
怖く ない よ	怖い
映え てる	映え ない
それ 誰 ？ ひどい わ	SNS で 悪口 を 書か れ た
今度 その 場所 一緒 に 行こ う	楽し そう な 投稿 が うらやましい
嫌 だ よ ね	勝手 に 写真 が 使わ れ た
運営 に 言お う	乗っ取ら れ た
全然 やら なく て いい よ	怖い
徐々に がんばろ	フォロワー 増え ない
俺 っ ち 泊まっ て いく ？	終電 を 逃し た
きっと 再 放送 し て くれる よ 。	見 たかっ た ドラマ を 見逃し た
帰っ て すぐ でも ちょうど いい 温度 だ ね	エアコン を 消し 忘れ た
電気 代 が 浮く	スマホ を 忘れ た
次に 挽回 し な	デート 忘れ て た
何とか なる さ	テスト 忘れ て た
まだ 食べ れる よ	賞味 期限 が 切れ て い た
泥 が 落ち た ね	水 溜り に 入っ た
次 から いい こと ある よ	鳥 の フン が かかっ た
次 がんばれ	テスト 落ち た
し 返せ	浮気 さ れ た
絆創膏 貸し て あげる	靴擦れ し た
ゆっくり 休ん で ね	風邪 かも
俺 も 昨日 ぶつけ た 笑	タンス の 角 に 足 の 小指 を ぶつけ た
ゆっくり 寝 て ね	画面 を 見 すぎ て 、 目 疲れ た
お 大事 に	骨折 し た
次 の 日 に は 治る よ	ワクチン の 副作用
よく 動い た 証拠 だ	筋肉 痛
痛い の 痛い の とん で いけ ～☆	転ん だ
電話 し て あげよ う か ？	スマホ を 無くし た
バッテリー 貸す よ	スマホ の 充電 が 切れ た
利子 付き で 貸し て あげる よ	改札 で お金 が ない こと に 気づい た
急げ ！ ！	寝坊 し た
傘 入れあげる	雨 が 降っ て き た
新た な 模様 が でき た ね 笑	ミート ソース を こぼし た
冒険 だ	逆 向き の 電車 に 乗っ た
すぐ 伸びる よ	前髪 を 切り すぎ た
よく ある 笑	砂糖 と 塩 を 間違え た
次 は いい の 作れる よ	間違え て 資料 消し ちゃっ た
可愛い から メイク なんて する な	メイク が 上手 に でき ない
わかる 、	ダイエット を し たい の に 食べ て しまう
寝坊 する ぞ	寒い から 布団 から 出 たく ない
勉強 し て き た から 大丈夫 だ よ	試験 大丈夫 か な
時間 が 経て ば 元 に 戻れる	喧嘩 し た
私 は 手越 くん 好き じゃ ない	手越 くん 、 卒業 し ちゃっ た
また 頑張ろ う	落ち た
次 から 気 を 付けよ う	間に合わ なかっ た
また 新しい ペット 買っ たら ！	ペット が 死ん だ
自由 に なれる ね	彼氏 と 別れ た
できる よ	友達 できる か な
ファイト ！	来週 、 面接 だ
教え て あげる	全然 、 わから ない
この世 に 男 は たくさん いる	告白 成功 する か な
終わっ た こと を 気 に する な ！	テスト 大丈夫 だっ た か な
私 が し て あげよ う	いい ね が もらえ ない
皆 書か れ て いる	SNS で 悪口 を 書か れ た
いつか 君 も そう なれる ☆	楽し そう な 投稿 が うらやましい
訴えよ う	勝手 に 写真 が 使わ れ た
忙しい ん だ よ	返信 遅い
上司 が タクシー 代 出し て くれる よ	終電 を 逃し た
サブスク に 上がっ て いる よ	見 たかっ た ドラマ を 見逃し た
帰っ た 時 に 部屋 が 快適 な 温度 に なっ て いる よ	エアコン を 消し 忘れ た
スマホ ない と きつい よ ねー	スマホ 忘れ た
1 回 くらい なら 大丈夫 だ よ	講義 動画 見 忘れ た
1 , 2 日 なら 大丈夫 だ よ	賞味 期限 が 切れ て い た
足元 大丈夫 ？	水 溜り に 入っ た
アンラッキー だっ た ね	鳥 の フン が かかっ た
また 買っ て こよ う	冷蔵庫 の プリン 食べ られ た
次 とれる よ	チケット 取れ なかっ た
次 は 当たる よ	抽選 外れ た
次 やる とき は バックアップ とっ て おこ う	データ 保存 さ れ て なかっ た
それ は 痛い ね …	靴擦れ し た
大丈夫 ？ ゆっくり 休ん で	風邪 かも
それ は 災難 だっ た ね	タンス の 角 に 足 の 小指 を ぶつけ た
お疲れ様 です	画面 を 見 すぎ て 、 目 疲れ た
絆創膏 あげよ う か ？	紙 で 指 切っ た
絆創膏 あげよ う か ？	料理 し て たら 指 切っ た
肘 ぶつける と ジン ジン する よ ね	肘 を ぶつけ た
それ は 痛かっ た ね …	転ん だ
電話 かけ て みる ？	スマホ を 無くし た
充電 器 貸そ う か ？	スマホ の 充電 が 切れ た
お金 貸そ う か ？	改札 で お金 が ない こと に 気づい た
ペン 貸そ う か ？	筆箱 忘れ た
テキスト 見せ て あげる よ	テキスト 忘れ た
次回 忘れ ない よう に しよ う	提出 の 課題 持っ て くる の 忘れ た
一緒 に 探そ う か	鍵 を なくし た
すぐ 洗え ば 落ちる よ	ミート ソース を こぼし た
そういう こと も ある よ	逆 向き の 電車 に 乗っ た
また 伸び て くる さ	前髪 を 切り すぎ た
たま に は 違う 味 も 良い ん じゃ ない ？	砂糖 と 塩 を 間違え た
次 は 気 を 付けよ う	待ち合わせ の 時間 間違え た
次 は うまく やれる よ	調味 料 入れる 順番 間違え た
クリーニング に 出そ う	スーツ に ジュース こぼし た
誰 だって 最初 は うまく でき ない よ	メイク が 上手 に でき ない
わかる	ダイエット を し たい の に 食べ て しまう
わかる	寒い から 布団 から 出 たく ない
先輩 や 先生 に 相談 しよ う	就活 どうし よう
先輩 や 先生 に 相談 しよ う	進学 どうし よう
野菜 沢山 食べ て いっぱい 寝よ う	肌荒れ が ひどい
生活 リズム を 整えよ う	朝 起き れ ない
いつか そういう 時 が 来る さ	手越 くん 、 卒業 し ちゃっ た
次 落ち ない よう に 頑張ろ う	落ち た
そういう こと も ある よ	間に合わ なかっ た
推し の セカンド キャリア も 応援 しよ う	推し が クビ に なっ た
来年 は 大丈夫 だ よ	推し チーム が 最下位 に なっ た
ある よ ね	アニメ の 推し が 死ん じゃっ た
次 の センター 誰 だろ う ね	センター が 変わっ ちゃっ た
きっと 出来る よ	友達 できる か な
頑張れ	来週 、 面接 だ
困っ たら 聞い て ね	全然 、 わから ない
大丈夫 だ よ	明日 ゼミ の 発表 だ
頑張れ	来週 、 模擬 授業 だ
緊張 する よ ね	明日 、 面談 だ
頑張れ	来週 、 試験 だ
次 は いい ね 貰える よ	いい ね が もらえ ない
気 に し ない 気 に し ない	SNS で 悪口 を 書か れ た
いつか 楽しい こと が 起きる よ	楽し そう な 投稿 が うらやましい
あなた の 写真 が 素晴らしい から だ よ	勝手 に 写真 が 使わ れ た
あなた も いつか 神 引き できる よ	ガチャ で 神 引き し た の が 羨ましい
きっと 間違っ ちゃっ た ん だ よ	フォロー 外さ れ た
気 に し ない で	ブロック さ れ た
いそがしい ん だ よ 、 きっと	既 読無 視 さ れ た
あー 、 それ は ドン マイ	推し が 炎上 し た
ブロック し ちゃえ	特定 の 人 に だけ 引用 リツイート さ れる
ブロック し ちゃえ	DM が う ざい
そのうち 増える よ	フォロワー が 増え ない
いそがしい ん だ よ 、 きっと	推し の 投稿 が 減っ た
連絡 先 同期 し てる と ある よ ねー	親 に アカウント ばれ た かも
それ は 仕方 ない かも	身内 に 裏 垢 ばれ た かも
そういう こと も ある よ	間違え て 送っ ちゃっ た
推し が 素敵 だ から 嫉妬 し てる ん だ よ	推し が SNS で 叩か れ た
ミュート すれ ば いい ん じゃ ない	フォロワー が うるさい
問い合わせ たら いい ん じゃ ない	アカウント が 凍結 し た
いそがしい ん だ よ 、 きっと	彼氏 の 返信 が 遅い
それ は つらい ね	最近 彼氏 が 冷たい
それ は つらい ね	友達 が 冷たい
はやめ に 仲直り しよ う	友達 と 喧嘩 し た
わかる 、 保 湿し よ	乾燥 が ひどい
暖かい 恰好 で 過ごそ う	冷え性 だ
眠い よ ね	寝不足 だ
ご 愁傷 様 です	ゲーム で 全 ロス し た
他 の ユーチューバー 探そ う	好き な ユーチューバー が 配信 やめ た
クレーム 対応 お疲れ様 です	クレーム が 来 た
その 分 稼げる よ	シフト が 急遽 入っ た
そういう とき も ある さ	推し が 打た れ た
そういう とき も ある さ	推し が エラー し た
大丈夫 ？ ゆっくり 休ん で	お腹 が 痛い
大丈夫 ？ ゆっくり 休ん で	頭 が 痛い
一緒 に 考えよ う	課題 が 分から ない
連絡 し て みよ う か	サークル の 部員 が 来 ない
流行り な ん だ よ	友達 と 服 かぶっ た
そういう とき も ある さ	音 漏れ し て た
ドン マイ	ミュート し 忘れ た
後で 謝ろ う	予定 すっぽかし た
忘れ ちゃう こと も ある よ ね	ログイン し 忘れ た
再 起動 し たら ？	パソコン の 動作 が 変
たまに ある よ ね	スマホ の 動作 が 変
大丈夫 ？ ゆっくり 休ん で	腰 が 痛い
大丈夫 ？ ゆっくり 休ん で	肩こり が ひどい
お疲れ様 です	疲れ た
ヤバ そう なら 先生 に 相談 しよ う	課題 を 提出 し 忘れ た
一緒 に 買い に 行こ う	お 弁当 忘れ た
見せ て あげる	教科書 忘れ た
再 放送 ある と いい ね	ドラマ 見逃し た
残念 だ ね 、 、 再販 待と う	欲しかっ た グッズ 売り切れ て た
ある ある	部屋 の 電気 消さ ず に 家 で ちゃっ た
止ま ない か なぁ	傘 を 忘れ ちゃっ た
連絡 すれ ば 大丈夫	美容 室 の 予約 時間 過ぎ て た
アプリ で 探せ ない か な ？	スマホ を 落とし た
それ は 悲しい	受験 票 を 忘れ た
大丈夫 だっ た ？	不審 者 に 遭遇 し た
なんとか 復旧 でき ない か な 、 、 、	パソコン の データ が 消え た
なんか 楽しい こ として 時間 潰そ う	渋滞 に 引っかかっ た
最悪 じゃん	自転車 盗ま れ た
ドン マイ 次 ある よ ！	ライブ に 落選 し た
客 だ から って 偉 そう だ よ ね	クレーマー が き た
仕方 ない から リカバリ し て いこ う	飛行機 乗り遅れ た
終わり だ 、 、	部屋 に ゴキブリ が 出 た
警察 に 届け出 だそ う	財布 を 落とし た
痕 残ら ない と いい ね	火傷 し た
バファリン 飲ん で	頭 が 痛い
ケガ ない ？	転ん だ
作業 お疲れ様	肩 が 凝っ た
歯医者 行こ う	虫歯 に なっ た
すぐ 治る から 頑張っ て	ワクチン の 副 反応 が 辛い
痛い よ ね	足 が つっ た
家 で ゆっくり し て ね	お腹 が 痛い
たくさん 飲ん だ ん だ ね 、 、	二日酔い が 辛い
ビタミン C 摂っ て ！	口内 炎 が 痛い
地味 に 痛い	紙 で 指 を 切っ た
踏ん張り どころ だ 〜	課題 が 終わら ない
晴れ ない か ね	雨 で 洗濯 が でき ない
怖 すぎ	部屋 に 虫 が いる
ググ って	道 に 迷っ た
徒歩 帰宅 ？	自転車 が パンク し た
大変 だ よ ね 〜	親戚 の 話 が 長い
誰 か 帰っ て くる まで 時間 潰し に 行こ	家 の 鍵 忘れ ちゃっ た
落ち着い て 離れよ う	車 に 煽ら れ た
電車 来る まで 話 付き合う よ	電車 が 遅延 し てる
画面 とか 見る 時間 多い もん ね	視力 が 下がっ た
相手 に 連絡 しよ う	待ち合わせ 時間 間違え て た
探せ 探せ	友達 と はぐれ た
失敗 は 成功 の もと ！	味付け 微妙
やっ ちゃっ た 〜	ゴミ 出し 忘れ た
それ は それ で あり	靴下 バラバラ だっ た
後始末 が 大変 だ	ティッシュ ごと 洗濯 し て しまっ た
二 度 寝 し ちゃえ	寝坊 し た
ゴミ 袋 に なる から OK	エコ バック 忘れ た
ウケる	改札 引っかかっ た
他 の お 店 探し て みよ う	お 店 が 定休 日 だっ た
小学生 みたい だ ね	先生 を お母さん って 呼ん じゃ っ た
ご飯 は もう ちょっと 待と う	炊飯 器 の スイッチ 入れ て なかっ た
昼夜 逆転 わかる	夜 更かし し ちゃう
5 分 で いい から 続けよ	筋 トレ が 続か ない
冬 〜 って 感じ	外 が 寒い
そのうち 終わる よ	弟 が 反抗 期
仕事 に 集中 し て 放っ て おけ ば OK	バイト 先 の 人 と 合わ ない
栄養 しっかり 摂っ て 寝よ う	肌荒れ し ちゃっ た
電子 書籍 増やし て みる ？	本 の 置き場 が なくなっ て き た
あれ 嫌 だ よ ね	満員 電車 が 辛い
なかなか 難しい よ ね 、 、	ダイエット が 続か ない
感覚 に 頼ら ず に マップ 見 て 帰ろ う	来 た 道 を 覚え られ ない
稼げ 稼げ	お金 を 使い 過ぎ た
切り替え て いこ	起き たら 午後 だっ た
自粛 太り か な 、 、	太っ た
次 いこ	バイト 落ち た
雨 の 日 しか でき ない こと 考えよ	遊び に 行く 日 に 雨 が 降っ た
寂しい ね	V 6 が 解散 し た
今年 は 不作 だっ た の か ね	野菜 が 値上げ し た
もう 落とし た もの は 仕方 ない	単位 落とし た
夢 で よかっ た ね	怖い 夢 を 見 た
なんか 食べる ？	お腹 減っ た
仲直り は 早い 方 が いい よ	友達 と 喧嘩 し ちゃっ た
地味 に 辛い	暖かい 飲み物 が 売り切れ
年末 だ し どっか 行っ ちゃお う よ	最近 遠出 し て ない な
悲しい ね 、 、 、	ペット が 死ん だ
無理 し ない で	寝不足 だ けど 出かけ なきゃ
安全 運転 ！	初めて 高速 道路 で 運転 する
ゆっくり やっ て いこ う	就活 し なきゃ
挨拶 しっかり ね ！	明日 は バイト 初日 だ
落ち着く と いい ね	コロナ この まま 収束 する か な
トイレ 予約 し とこ う	食べ た もの が 消費 期限切れ だっ た
なる よう に なる さ	将来 が 不安
最後 まで 足掻こ う	明日 テスト だ
気 に し ない 気 に し ない	返信 途切れ た
他 を 探し て み て も いい かも	バイト 先 の シフト が 減っ た
楽しん で いこ う	新 学期 始まる
ブロック しよ	知ら ない 人 から ずっと メッセージ が くる
し なく て も 良い の よ	更新 が めんどい
無視 し な	遠回し に 悪口 を 書か れ た
個人 情報 は ダメ だ よ ね	許可なし で 写真 載せ られ た
人 は 人 自分 は 自分	人 の 投稿 が 羨ましい
あんまり 気 に し ない 方 が いい かも	反応 を 気 に し て しまう
他 に やる こと ある でしょ	見 過ぎ ちゃう
大事 な メッセージ だけ 返せ ば いい よ	返信 に 時間 が 取ら れる
朝 まで 遊ぼ う	終電 を 逃し た
配信 で 見よ う	見 たかっ た ドラマ を 見逃し た
タイマー 付けよ う	エアコン を 消し 忘れ た
遅れ て も いい から 提出 しよ う	提出 忘れ た
謝罪 連絡 しよ う	連絡 する の 忘れ た
買っ たら すぐ 食べよ う	賞味 期限 が 切れ て い た
ついて ない ね	水 溜り に 入っ た
ついて ない ね	鳥 の フン が かかっ た
早く 拭こ う	水筒 こぼし た
次 の 機会 に かけよ う	応募 期間 過ぎ て た
今 すぐ 連絡 しよ う	約束 を 忘れ て た
ばん そう こう はろ う	靴擦れ し た
早め に 休も う	風邪 かも
めっちゃ 痛 そう	タンス の 角 に 足 の 小指 を ぶつけ た
温め て 休も う	画面 を 見 すぎ て 、 目 疲れ た
歯医者 に 行こ う	虫歯 に なっ た
気 を 付けよ う	転ん だ
命 が あっ て よかっ た ね	事故 に あっ た
落とし物 センター に 行っ て みよ う	スマホ を 無くし た
バッテリー 買い に 行こ う	スマホ の 充電 が 切れ た
急い で 取り に 帰ろ う	改札 で お金 が ない こと に 気づい た
友達 に 相談 しよ う	課題 が わから ない
直し 方 調べよ う	パソコン が 壊れ た
時間 を ずらそ う	混雑 に 巻き込ま れ た
早く 洗お う	ミート ソース を こぼし た
次 乗り換えよ う	逆 向き の 電車 に 乗っ た
似合っ てる よ	前髪 を 切り すぎ た
次 気 を 付けよ う	砂糖 と 塩 を 間違え た
友達 に 借りよ う	財布 忘れ た
忘れ ない よう に 玄関 に 置こ う	鍵 忘れ た
スマ ホ か パソコン で メモ しよ う	ペン 忘れ た
youtube 見 て 勉強 しよ う	メイク が 上手 に でき ない
食べ た 分 だけ 運動 しよ う	ダイエット を し たい の に 食べ て しまう
ストーブ つけよ う	寒い から 布団 から 出 たく ない
よく 考えよ う	進路 が 決まら ない
環境 を 変えよ う	やる気 が 出 ない
バイト を 増やそ う	お金 が たまらない
誰 か と 一緒 に やろ う	勉強 が うまく いか ない
カルシウム とろ う	身長 が 伸び ない
たくさん 調べよ う	就職 どうし よう
ため に なる から 頑張ろ う	勉強 し たく ない
生活 習慣 見直そ う	朝 起き れ ない
これから も 追っかけよ う	手越 くん 、 卒業 し ちゃっ た
次 が ある よ	落ち た
次 は 気 を つけよ う	間に合わ なかっ た
もっと よく 探そ う	定期 なく し た
次 は 絶対 に 当選 する よ	ライブ に 落ち た
新しい の 買お う	スマホ が 壊れ た
けが だけ で 済ん で よかっ た ね	けが を し た
向い て なかっ た ん だ よ	バイト 落ち た
次 は ちゃんと 予約 しよ う	ほしい もの が 買え なかっ た
新しい 推し を 見つけよ う	推し が 引退 し た
作者 の 次回 作 を 待ち ましょ う	読ん で た 漫画 が 連載 終了 し た
なんとか なる さ	友達 できる か な
たくさん 練習 しよ う	来週 、 面接 だ
友達 を 頼ろ う	全然 、 わから ない
やり たい こと 見つけよ う	将来 どう なる だろ う
たくさん 練習 しよ う	発表 緊張 する
もう少し し たら もらえる よ	いい ね が もらえ ない
放っ て おこ う	SNS で 悪口 を 書か れ た
人 それぞれ だ よ	楽し そう な 投稿 が うらやましい
訴えよ う	勝手 に 写真 が 使わ れ た
いつか 来る よ	反応 が 来 ない
サイゼ 行こ う か	終電 を 逃し た
きっと dailymotion に ある よ	見 たかっ た ドラマ を 見逃し た
帰っ た とき 涼しく て いい ね	エアコン を 消し 忘れ た
貸す よ	ボールペン を 忘れ た
締め切り 過ぎ て て も 大丈夫 だ よ	実験 実習 費 の 納入 が 間に合わ なかっ た
明日 で いい よ	洗濯 物 を 取り込み 忘れ た
まだ ある と いい ね	トイレ に スマホ を 忘れ た
こんなに たくさん 買わ なく て よかっ た ね	賞味 期限 が 切れ て い た
百 均 で 靴下 買お う よ	水 溜り に 入っ た
汚い	鳥 の フン が かかっ た
鼻 つまん で 飲む と いい よ	苦い カクテル を 頼ん で しまっ た
きっしょ	服 に 虫 が つい た
相席 で も いい ？	フード コート で 席 が あい て ない
最近 迷走 し てる よ ね	ミニストップ の 新 商品 が まずい
ばん そう こう ある よ	靴擦れ し た
お 大事 に	風邪 かも
痛い の 痛い の 飛ん で け する ？	タンス の 角 に 足 の 小指 を ぶつけ た
休 もっか	画面 を 見 すぎ て 、 目 疲れ た
ちゃんと ストレッチ し ない から だ よ 。 言わ ん こっ ちゃ ない	捻挫 し た
チーズ 入れる と いい よ	唐辛子 が 辛 すぎる
い た たた	縁石 に つまずい た
お 薬 塗る と いい よ	ピアス 穴 が 膿ん だ
なんとか なる ん じゃ ない ？	スマホ を 無くし た
充電 できる とこ ある か な ？	スマホ の 充電 が 切れ た
ドン マイ	改札 で お金 が ない こと に 気づい た
この 授業 捨てよ う よ	先生 の 声 が 小さく て 聞こえ ない
こっち と 交換 すれ ば ？	椅子 の 高 さ が 合わ ない
貸す よ	充電 コード を 忘れ た
そんな お 店 願い下げ だ わ	JCB が 使え なかっ た
すぐ 洗っ て き な よ ！	ミート ソース を こぼし た
待っ てる ねー	逆 向き の 電車 に 乗っ た
似合っ てる よ	前髪 を 切り すぎ た
やめ て	砂糖 と 塩 を 間違え た
直し とく よ	自転車 を 倒し た
表 は 全部 解け た の ？	テスト の 裏 に 気が付か なかっ た
ティッシュ ある よ	ジュース を こぼし た
充分 上手 だ よ	メイク が 上手 に でき ない
そんな 日 も ある	ダイエット を し たい の に 食べ て しまう
今日 は 布団 で いい よ	寒い から 布団 から 出 たく ない
今夜 通話 つなご う よ	課題 が 終わら ない
隣 駅 まで 一緒 に 歩こ う	お金 が ない
もう そんな 歳 な の ？	階段 を 上る だけ で 息切れ する
あんな やつ やめ とけ	彼氏 が でき た
一緒 に バン タン 見よ う よ	手越 くん 、 卒業 し ちゃっ た
大丈夫 でしょ	友達 できる か な
頑張れ	来週 、 面接 だ
映え て ない の か な ？	いい ね が もらえ ない
気 の せい だ よ	SNS で 悪口 を 書か れ た
通報 しな よ	勝手 に 写真 が 使わ れ た
いつも の こと だ よ	炎上 し てる
流出 は ダメ だ よ	ストーリー に 講義 資料 が 写っ てる
ほほえましい ね	カップル の 惚気 が 多 すぎる
友達 の いえ に お 泊まり し て 楽しも う ！	終電 を 逃し た
Tver で 観 れる から 大丈夫 ！	見 たかっ た ドラマ を 見逃し た
1 日 くらい そんなに 電気 代 かから ない から 大丈夫 ！	エアコン を 消し 忘れ た
次 気 を つけれ ば いい ん だ よ	電気 を つけ っぱなし に し た
隣 に いる 人 の 傘 に 入っ て しまお う	傘 を 持っ て 行こ う と 思っ て い たら 忘れ て 雨 に なっ た
教授 を 説得 し て 再 提出 さ せ て もらう	課題 を 出し 忘れ た
バイト の 友達 に 貸し て くれ ない か 聞い て みよ う	バイト ある のに 制服 忘れ た
1 時間 早く 入れ て もらっ ちゃお う ！	バイト の 時間 を 1 時間 間違え た
今日 は 一 日 ヒモ に なろ う	家 を 出 たら 財布 を 忘れ た
違う 企業 で も 似 てる よう な 会社 ある はず だ よ ！	ES の 期限 間違え た
他 の 店 に 買い に 行こ う ！	欲しい もの を 買え なかっ た
まだ タイミング は これから 来る はず ！	告白 する タイミング を 逃し た
今 から 取り込ん で も 遅く ない	洗濯 物 を 取り込み 忘れ た
新しい もの を 買っ て こよ う	賞味 期限 が 切れ て い た
一旦 家 に 帰ろ う	水 溜り に 入っ た
とりあえず テッシュ で 拭こ う	鳥 の フン が かかっ た
店員 さん に 言っ て みよ う	お 店 で 頼ん だ 飲み物 が まずかっ た
次 の 日 頑張れ ば 大丈夫	仮眠 しよ う と し たら 4 時間 寝 て た
次 の バス まで 待と う	バス が 目 の 前 で 行っ て しまっ た
他 の 大学 で も きっと いい こと が 待っ てる はず	第 一 志望 に 落ち た
次に この 失敗 を 繰り返さ ない よう に 気 を つけよ う	大事 な 日 に 寝坊 し た
次 は 逆 に いい こと ある かも よ	株 で 大損 し た
新しい 靴 を 買お う	靴擦れ し た
一旦 ぐっすり 寝よ う	風邪 かも
湿布 を 貼っ て おこ う	タンス の 角 に 足 の 小指 を ぶつけ た
一旦 目 を 閉じよ う	画面 を 見 すぎ て 、 目 疲れ た
そんな 時 も ある 、 次 は いい こと ある よ ”	みんな 見 てる ところ で 1 人 で こけ た
は は はっ は ！	10 分の タイマー を 10 時間 で セット し た
一旦 病院 に 行っ て みよ う	寝 ながら スマホ 見 て たら 顔 の 上 に 落ち て き た
病院 に 行っ て みよ う	犬 に 噛ま れ た
スマホ に も GPS を つける よう に しよ う	スマホ を 無くし た
レンタルモバイルバッテリー を 使用	スマホ の 充電 が 切れ た
駅員 さん に お金 借りよ う	改札 で お金 が ない こと に 気づい た
その ひと とも 友達 に なろ う	友達 に 似 て た から 話しかけ たら 全く 知ら ない 人 だっ た
その 美容 院 に は 2 度 と 行か ない よう に しよ う	髪の毛 染め たら 変 な 色 に さ れ た
その 美容 院 に は 2 度 と 行か ない よう に しよ う	パーマ かけ た けど 全然 かから なかっ た
隣 に 座っ て いる 人 に 借りよ う	勉強 する とき に ペン を 忘れ た
洗お う	ミート ソース を こぼし た
もう 一 回 逆 向き に 乗ろ う ！	逆 向き の 電車 に 乗っ た
坊主 に し ちゃお う ！	前髪 を 切り すぎ た
作る もの を 変えれ ば いい ！	砂糖 と 塩 を 間違え た
直せ ば いい だけ ！	漢字 の 変換 を 間違え た
間違え た ！ って 言っ て みよ う	友達 の 名前 を 言い 間違え た
すぐ に 消そ う	裏 垢 と サブ 垢 間違え た
新しい 靴下 買っ ちゃ お ！	靴下 が 左右 で 違っ た
言い直せ ば 大丈夫 ！	注文 を 言い 間違え た
一旦 何 も なかっ た か の よう に 退出 しよ う	画面 オフ だ と 思っ て い たら オン に なっ て い た
一旦 何 も なかっ た か の よう に 退出 しよ う	ミュート し 忘れ て 悪口 言っ ちゃっ た
youtube で 勉強 しよ う	メイク が 上手 に でき ない
あなた は 太っ て なんか ない よ	ダイエット を し たい の に 食べ て しまう
出 なく たって いい よ	寒い から 布団 から 出 たく ない
やる気 次第	ジム に 行き たい のに ちゃんと 通える か 不安 で いけ ない
それ な	周り が 就活 進ん で て 焦る
それ な	鼻水 が 止まら ない
本当に それ な	リップ 塗っ て も 乾燥 する
そこ まで 興味 ない か な	手越 くん 、 卒業 し ちゃっ た
何 に ？ ？	落ち た
何 に ？ ？	間に合わ なかっ た
なんて 聞か れ た の ？	面接 むずかっ た
どんな 感じ で ？	面接 官 が 怖かっ た
その 子 に 嫌わ れ て いる の かも	友達 と 予定 が 合わ ない
どこ 行き たい の ？	海外 に 行け ない
その こと は もう 遊ぶ の やめよ う	ドタキャン さ れ た
ショック ！	白い 服 に コーヒー こぼし た
そう ゆう 時 も ある よ ね	自分 の 好み が 変わっ た
それ は マジ で 萎える	マスクイケメン だっ た
できる よ ！	友達 できる か な
しっかり 対策 し て いこ	来週 、 面接 だ
何 が ？	全然 、 わから ない
それ な ！ ！ ！	就活 し たく ない
それ な ！！！！！！！！！！！！！	働き たく ない
わたし も 不安	将来 が 不安
あれ は 難しい	コーディング テスト が 本当に でき ない
そう ゆう 時 も ある よ ね	いい ね が もらえ ない
ブロック しよ う	SNS で 悪口 を 書か れ た
ブロック しよ う	楽し そう な 投稿 が うらやましい
友達 に しっかり 伝えよ う	勝手 に 写真 が 使わ れ た
そう ゆう 時 も ある	炎上 し た
最高 ！	バズ っ た
ブロック しか え そう	ブロック さ れ て い た
自分 の も 非 表示 に し て おこ う	ストーリー 非 表示 に さ れ て た
そう ゆう 時 も ある ！	投稿 し たら いい ね 数 が 少なかっ た
その グループ なんて 友達 じゃ ない ！	グループ 内 で 自分 以外 で 遊ん で た
それ は やめ とき な ！	Twitter で 悪口 書い た
それ な ！！！！！！！！！！！！！	依存 から 離れ られ ない
確か に ！	友達 の 状況 を 知れる
それ は いい こと ！	情報 取 集 たくさん できる
それ も 確か に	リアルタイム で 知れる
いい ね ！ ！ ！	フォロワー 増え た
お疲れ様 ！ タクシー 呼ぼ	終電 を 逃し た
動画 配信 サービス で 配信 さ れ てる かも よ ！	見 たかっ た ドラマ を 見逃し た
この 反省 を 次に 活かそ う ！	エアコン を 消し 忘れ た
ついで に 他 の もの も 確認 し て み よ	賞味 期限 が 切れ て い た
濡れ ちゃっ た ？ 風 引か ない よう に ね	水 溜り に 入っ た
鳥 の ふん が つく と 運 が つく という 言い伝え が ある よ ！	鳥 の フン が かかっ た
警察 に 届け出よ う	空き巣 に 入ら れ た
大丈夫 ？ タオル で 拭こ う	飲み物 を こぼし た
痛い よ ね 、 、 大丈夫 ？ 絆創膏 貼っ て ね	靴擦れ し た
大丈夫 ？ 休める とき に しっかり 休ん で ね	風邪 かも
痛 そう 、 、 気 を つけ て	タンス の 角 に 足 の 小指 を ぶつけ た
外 見 て ゆっくり し よ	画面 を 見 すぎ て 、 目 疲れ た
頑張っ た 証拠 だ ね 、 ゆっくり 休ん で	筋肉 痛 だ
大丈夫 ？ ゆっくり 休ん で ね	頭 が 痛い
大丈夫 見つかる よ ！	スマホ を 無くし た
充電 し て こよ ！	スマホ の 充電 が 切れ た
大変 だっ た ね 、 、	改札 で お金 が ない こと に 気づい た
洗え ば 落ちる ！	ミート ソース を こぼし た
そういう こと も ある よ ね	逆 向き の 電車 に 乗っ た
前髪 は すぐ 伸びる よ	前髪 を 切り すぎ た
たま に は そういう 事 も ある	砂糖 と 塩 を 間違え た
回数 重ねれ ば うまく なる よ ！	メイク が 上手 に でき ない
ちょっと ずつ 減らし て こ	ダイエット を し たい の に 食べ て しまう
出 ちゃえ ば 意外と 大丈夫 だ よ ！	寒い から 布団 から 出 たく ない
